Style Number,Style Sketch/Image Link,Line?,Pattern Number,Sleeve Pattern Number,Style Type,Style Primary Color,Fabric Type,Style Name,Style Description,Fabric 1 Name,Fabric 1 Status,Fabric 1 Quantity (in meter),Fabric 1 Rate (Rs per meter),Fabric 2 Name,Fabric 2 Status,Fabric 2 Quantity (in meter),Fabric 2 Rate (Rs per meter),Fabric 3 Name,Fabric 3 Status,Fabric 3 Quantity (in meter),Fabric 3 Rate (Rs per meter),Accessory 1 Type,Accessory 1 Status,Accessory 1 Quantity,Accessory 1 Rate,Accessory 2 Type,Accessory 2 Status,Accessory 2 Quantity,Accessory 2 Rate,Accessory 3 Type,Accessory 3 Status,Accessory 3 Quantity,Accessory 3 Rate,Dyeing Cost,Labor (hours),Prints,Occasion,Neck Style,Main Trend,Fitting Type,Collar Type,Sleeve Type,Style Secondary Color,Primary Color Shade,Sleeve Length,Season,Hemline,Transparency,Lining,Wash Care,Closure,Bust (Inches) - XS,Chest (inches) - XS,Front Length (inches) - XS,Hips (inches),Waist (inches) - XS,Across Shoulder (inches) - XS,Sleeve Length (inches) - XS,Organic/Sustainable?,Dress Type,Shirt Type,Email Address,Fabric 1 Number,Fabric 2 Number,Fabric 3 Number,Accessory 1 Number,Accessory 2 Number,Accessory 3 Number,Dress Length,Fabric Cost,Accessory Cost,Labor Cost,Dyeing Cost,Packing Cost,Total Cost (USD),Discount (%),Discount Rupees,Target SP (INR),1st Discounted Price,1st Discount (Rs),2nd Discounted Price,2nd Discount (Rs),Clearance Price,Clerance Discount (Rs),Outlet Price,Total Cost (INR),MRP,Style Status,MSRP (USD),Discount %,Premium Style?,Exact Inventory,Inactive,Checked,Photo
24045,https://drive.google.com/open?id=1WTwMG34SHg-TiXTx28-gwTvf_3jbNcqK,Qurvii Desi,692,,Dress,Green,Silk,Green silk kafan ,Green Silk Loose Fit Dress with Asymmetric Hemline,Burfi silk ,In store and available,3,90,,,,,,,,,,,,,,,,,,,,,,3,Solid,"Evening, Party, Festival",V Neck,"Lace, Frills, Bows and Ruffles, New Basics",Loose Fit,Collarless,Not Applicable,Green,Dark,,"Summer, Spring",Asymmetric,Opaque,Without,Dry Clean Only,Not Applicable,36,35,45,38,28,14,,No,,,,0,,,,,,,?270.00,?0.00,?150.00,,?45.00,5.17,67.55%,"2,496.00","1,199.00","2,299.00","1,396.00","1,399.00","2,296.00",899,"2,796.00",699,?465.00,"3,695.00",,42,,,,,,https://drive.google.com/uc?export=view&id=1WTwMG34SHg-TiXTx28-gwTvf_3jbNcqK
24044,https://drive.google.com/open?id=1g0gWfH8RsqzPSsEovdz2BQIZOON_RFKi,Qurvii Desi,692,,Dress,Royal Blue,Silk,Royal blue silk kafan ,Royal Blue Silk Loose Fit Dress with Asymmetric Hemline,Silk,In store and available,3,90,,,,,,,,,,,,,,,,,,,,,,3,Solid,"Evening, Party, Festival",V Neck,"Lace, Frills, Bows and Ruffles, New Basics",Loose Fit,Collarless,Not Applicable,Royal Blue,Dark,,Summer,Asymmetric,Opaque,Without,Dry Clean Only,Not Applicable,36,35,45,38,28,14,,No,,,,0,,,,,,,?270.00,?0.00,?150.00,,?45.00,5.17,100.00%,,,"2,299.00","1,396.00","1,399.00","2,296.00",899,"2,796.00",699,?465.00,"3,695.00",,42,,,,,,https://drive.google.com/uc?export=view&id=1g0gWfH8RsqzPSsEovdz2BQIZOON_RFKi
24043,,Qurvii Desi,108(D),,Dress,Black,Silk,Black crepe silk Kimono dress with sequins,Black Silk Loose Fit Dress with Asymmetric Hemline,Silk,In store and available,3.5,90,Sequin,In store and available,0.25,200,,,,,Fusing,In store and available,0.25,10,,,,,,,,,,3,Solid,"Evening, Party, Festival",V Neck,"Lace, Frills, Bows and Ruffles, New Basics, Bling & Sparkly",Loose Fit,Collarless,Not Applicable,Black,Dark,,Fall,Asymmetric,Opaque,Without,Dry Clean Only,Not Applicable,36,35,46,38,28,14,,No,,,,0,0,,0,,,,?365.00,?2.50,?150.00,,?45.00,6.25,100.00%,,,"2,799.00","1,696.00","1,699.00","2,796.00","1,099.00","3,396.00",799,?562.50,"4,495.00",,50,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=
24042,,Qurvii Desi,110(D),,Shirt,Navy,Crepe,Navy french crepe Brocadr notch collar shirt ,Navy Crepe Loose Fit Shirt with Curved Hemline,French crepe,In store and available,3,70,Brocade,In store and available,0.5,300,,,,,Fusing,In store and available,0.35,20,,,,,,,,,,3,"Solid, Floral","Evening, Party, Festival",Button Front,"Floral, New Basics",Loose Fit,Not Applicable,Cuff Sleeve,Navy,Dark,Full,Fall,Curved,Opaque,Without,Dry Clean Only,Button,36,35,28,38,28,14,23.5,No,Shirt,,,0,0,,0,,,,?360.00,?7.00,?150.00,,?45.00,6.24,100.00%,,,"2,799.00","1,696.00","1,699.00","2,796.00","1,099.00","3,396.00",799,?562.00,"4,495.00",,50,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=
24041,,Qurvii Desi,105(D),,Dress,Black,Silk,Black silk v-neck kaftan with Brocade yoke,Black Silk Loose Fit Dress with Asymmetric Hemline,Burfi,In store and available,3.5,90,Brocade,In store and available,0.5,250,,,,,Fusing,In store and available,0.45,30,,,,,,,,,,3,"Solid, Floral","Evening, Party, Festival",V Neck,"Lace, Frills, Bows and Ruffles, New Basics",Loose Fit,Collarless,Not Applicable,Yellow,Dark,,Fall,Asymmetric,Opaque,Without,Dry Clean Only,Not Applicable,36,35,46,38,28,14,,No,Fit & Flare,,,0,0,,0,,,,?440.00,?13.50,?150.00,,?45.00,7.21,100.00%,,,"3,199.00","1,996.00","1,899.00","3,296.00","1,299.00","3,896.00",999,?648.50,"5,195.00",,58,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=
24040,,Qurvii Desi,603,,Dress,Red,Crepe silk,Red crepe silk brocade yoke dress ,Red Crepe silk Loose Fit Dress with Curved Hemline and With Lining,Vamika crepe ,In store and available,4,100,Lining ,In store and available,1.5,60,Brocade ,In store and available,0.45,400,Zips,In store and available,1,10,,,,,,,,,,3,Solid,"Evening, Party, Festival",V Neck,"Lace, Frills, Bows and Ruffles, New Basics",Loose Fit,Collarless,Regular,Black,Dark,Three Quarter,Fall,Curved,Opaque,With,Dry Clean Only,Concealed Zip,36,35,50,38,28,14,20,No,Fit & Flare,,,0,0,0,0,,,,?670.00,?10.00,?150.00,,?45.00,9.72,100.00%,,,"4,399.00","2,596.00","2,599.00","4,396.00","1,799.00","5,196.00","1,299.00",?875.00,"6,995.00",,78,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=
24039,,Qurvii Desi,651,,Dress,Purple,Georgette,Purple  Maxi Dress with brocade yoke,Purple Georgette Loose Fit Dress with Curved Hemline and With Lining,Harnaz ,In store and available,4,60,Lining,In store and available,2.5,70,Brocade,In store and available,0.5,300,Zips,In store and available,1,10,,,,,,,,,,3,Solid,"Evening, Party, Festival",V Neck,"Lace, Frills, Bows and Ruffles, New Basics",Loose Fit,Collarless,Not Applicable,Navy,Dark,,Fall,Curved,Opaque,With,Dry Clean Only,Concealed Zip,36,35,51,38,28,14,,No,Fit & Flare,,,0,0,0,0,,,,?565.00,?10.00,?150.00,,?45.00,8.56,100.00%,,,"3,899.00","2,296.00","2,299.00","3,896.00","1,499.00","4,696.00","1,199.00",?770.00,"6,195.00",,69,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=
24038,,Qurvii Desi,603,,Dress,Purple,Georgette,Purple party dress with brocade yoke,Purple Georgette Loose Fit Dress with Curved Hemline and With Lining,Harnaz,In store and available,4,60,lining,In store and available,2,70,Brocade,In store and available,0.45,400,Zips,In store and available,1,10,,,,,,,,,,3,"Solid, Floral","Evening, Party, Festival",V Neck,"Floral, Lace, Frills, Bows and Ruffles, New Basics",Loose Fit,Collarless,Regular,Purple,Dark,Three Quarter,Fall,Curved,Opaque,With,Dry Clean Only,Concealed Zip,36,35,50,38,28,14,20,No,Fit & Flare,,,0,0,0,,,,,?560.00,?10.00,?150.00,,?45.00,8.5,100.00%,,,"3,799.00","2,296.00","2,299.00","3,796.00","1,499.00","4,596.00","1,099.00",?765.00,"6,095.00",,68,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=
24037,,Qurvii Desi,698,,Kaftan,Purple,Georgette,Purple georgette kaftan shirt with brocade,Purple Georgette Loose Fit Kaftan with Asymmetric Hemline,Harnaz,In store and available,3,60,Brocade,In store and available,0.5,400,,,,,Fusing,In store and available,0.25,10,,,,,,,,,,3,Solid,"Evening, Party, Festival",Classic Shirt,"Floral, Lace, Frills, Bows and Ruffles, New Basics, Sheer",Loose Fit,Classic Collar,Not Applicable,Purple,Dark,,Fall,Asymmetric,Opaque,Without,Dry Clean Only,Not Applicable,36,35,27.5,38,28,14,,No,,,,0,0,,0,,,,?380.00,?2.50,?150.00,,?45.00,6.42,100.00%,,,"2,899.00","1,696.00","1,699.00","2,896.00","1,199.00","3,396.00",899,?577.50,"4,595.00",,52,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=
24036,,Qurvii Desi,108(D),,Dress,Black,Silk,Black silk Kimono dress with brocade,Black Silk Loose Fit Dress with Asymmetric Hemline,Burfii silk,In store and available,3.5,90,Brocade ,In store and available,0.35,200,,,,,Fusing,In store and available,0.25,10,,,,,,,,,,3,Solid,"Evening, Party, Festival",V Neck,"Lace, Frills, Bows and Ruffles, New Basics",Loose Fit,Collarless,Not Applicable,Black,Dark,,Fall,Asymmetric,Opaque,Without,Dry Clean Only,Not Applicable,36,35,46,38,28,14,,No,,,,0,0,,0,,,,?385.00,?2.50,?150.00,,?45.00,6.47,100.00%,,,"2,899.00","1,796.00","1,699.00","2,996.00","1,199.00","3,496.00",899,?582.50,"4,695.00",,52,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=
