style_number,pattern,style_type,color,style_name,accessory1,wash_care,mrp
24045,692,Dress,Green,Green silk kafan,,Dry Clean Only,3695
24044,692,Dress,Royal Blue,Royal blue silk kafan,,Dry Clean Only,3695
24043,108(D),Dress,Black,Black crepe silk Kimono dress with sequins,Fusing,Dry Clean Only,4495
24042,110(D),Shirt,Navy,Navy french crepe Brocadr notch collar shirt,Fusing,Dry Clean Only,4495
24041,105(D),Dress,Black,Black silk v-neck kaftan with Brocade yoke,Fusing,Dry Clean Only,5195
24040,603,Dress,Red,Red crepe silk brocade yoke dress,Zips,Dry Clean Only,6995
24039,651,Dress,Purple,Purple Maxi Dress with brocade yoke,Zips,Dry Clean Only,6195
24038,603,Dress,Purple,Purple party dress with brocade yoke,Zips,Dry Clean Only,6095
24037,698,Kaftan,Purple,Purple georgette kaftan shirt with brocade,Fusing,Dry Clean Only,4595
24036,108(D),Dress,Black,Black silk Kimono dress with brocade,Fusing,Dry Clean Only,4695
24035,108(D),Dress,Red,Red crepe silk Kimono dress with sequins,Fusing,Dry Clean Only,4795
24034,108 (D),Dress,Red,Red silk Kimono dress with brocade,Fusing,Dry Clean Only,5095
24033,108 (D),Dress,Royal Blue,Royal Blue silk Kimono dress with brocade,Fusing,Dry Clean Only,5195
24032,109 (D),Shrug,Burgundy,Burgundy shimmery georgette with brocade border shrug.,,Dry Clean Only,6995
24031,108 (D),Dress,Orange,Saffron & Orange silk Kimono oversize dress,Fusing,Dry Clean Only,4095
24030,108 (D),Dress,Orange,Orange & saffron silk Kimono oversize dress,Fusing,Dry Clean Only,4095
24029,108 (D),Dress,Fuchia Pink,Fuchia pink silk Kimono dress with brocade,Fusing,Dry Clean Only,4395
24028,108(D),Dress,Fuchia Pink,Fuchia pink & orange silk colorblock Kimono dress,Fusing,Dry Clean Only,4095
24027,623,Kaftan,Yellow,Yellow silk crepe embelished V-Neck kaftan,Lace,Dry Clean Only,4295
24026,603,Dress,Pink,Hot pink brocade yoke party dress,Zips,Dry Clean Only,6595
24025,741,Pant,Yellow,Yellow solid silk crepe pants,Elastic,Dry Clean Only,3595
24024,106-D,Kaftan,Pista Green,Pista Green V-Neck silk kaftan with brocade yoke,Fusing,Dry Clean Only,5895
24023,108 (D),Dress,Lime Green,Lime green & turquoise colorblock silk Kimono oversize dress,Fusing,Dry Clean Only,3695
24022,108 (D),Dress,Green,Turquoise Green & Lime colorblock silk Kimono oversize dress,Fusing,Dry Clean Only,3695
24021,108 (D),Dress,Green,Green & Royal Blue colorblock silk Kimono oversize dress,Fusing,Dry Clean Only,3695
